标题,作者,bvid,上传时间,视频时长,弹幕数,点赞数,播放量,收藏量,分区类型,标签,描述
CF4v8挑战2：4个cf职业选手vs8个lol博主！谁是生化+突围高手？,布锅锅,BV1JKTRzpEyU,2025-06-08 23:50:00,42:17,2711,26377,459864,4589,电子竞技,"FPS,比赛,英雄联盟,生化模式,电子竞技,夜幕山庄,lol,突围模式,游戏鉴赏家,穿越火线怀旧模式,CF突围时空激励计划",来晚了兄弟们！希望能赶上！本期是生化+突围模式！谁是生化高手！谁是突围大神！你们觉得哪队会赢？
蒙面solo赛：4名王者匿名参赛！你能猜出谁是谁？【第二期】,布锅锅,BV12s421A7sm,2024-05-15 11:00:00,35:19,6961,37237,1163116,4451,电子竞技,"解说,对决,比赛,英雄联盟,电子竞技,王者,lol,solo,游戏鉴赏家,2024英雄联盟MSI","蒙面solo第二期来啦！欢迎大伙对每位选手指指点点！4位王者匿名参赛！你们猜猜谁是谁？
最后感谢4位选手为我们奉献的精彩比赛！
制图：@Nocturne777 "
679点攻击力，12852点血，只有心之钢才能赢的一把游戏！,我才是熊猫大G,BV18D7HzzEoN,2025-05-30 18:00:00,23:45,1434,7559,406091,367,电子竞技,"搞笑,英雄联盟,塞恩,偷家,大G,偷塔流,送死流,送死流塞恩,下饭操作,下班整点英雄联盟,想起来了我是LOL大王",
我打了10000局排位，只为这一局的胜利！！,布锅锅,BV1D8411s7ty,2022-10-04 20:27:01,24:44,30539,319501,4168496,101723,电子竞技,"英雄联盟S12,英雄联盟,搞笑,电子竞技,轮回,lol,动画,泪目,微电影,手书","一场无限轮回的排位，如果是你，你会怎么办？（球球了，一定要看完啊！！！）

创意原型
浅葱喵
《受够了，我真的不行了。好想逃。》

制片人/系列构成/发行
甜咖啡

剧本
清竹莫叶

原画
列奥k

动画
鸽王阿鸟

摄影剧本
甜咖啡

导演/摄影/制作
布锅锅

后期
布锅锅、清竹莫叶、手折余弦

录制组成员
布锅锅
甜咖啡
诺言
拿大锤
筱尘
杭州小贱可以吗
KabudaMs
郑江河
时光流逝的我
飞熊入梦狂雷渐起
LOL超凶阡雪狐
葡萄的叮当猫

配音
布锅锅

技术支持
飞熊入梦狂雷渐起
Kabu"
英雄联盟LOL王者教学：解脱者塞拉斯,lol超神解说lol,,1970-01-01 08:00:00,,0,0,309,0,,,
速刷打野蛋世界纪录：成就最强大的对手！然后将其击败！！,布锅锅,BV1Qe7Pz4Evc,2025-05-31 21:00:00,33:52,3889,49265,1054790,6064,电子竞技,"比赛,世界纪录,英雄联盟,电子竞技,OMEN,暗影精灵,lol,游戏鉴赏家,下班整点英雄联盟,暗影精灵11",先让对手成为完全体，然后再亲手将其击败！没有比这更帅的剧情了！！！这期非常精彩，甚至发生了新纪录史上从没发生过的事，一定要看到最后啊！求三连啊啊啊兄弟们！！！！！
先攻之王世界纪录：一次先攻偷202694金币！史上最高爆发英雄竟然是？,布锅锅,BV1wr4y1g7Df,2022-06-20 00:32:32,20:17,18235,331149,5522200,35502,电子竞技,"游戏新纪录,电子竞技,lol,英雄联盟,戏命师,游戏鉴赏家,世界纪录,挑战,先攻之王,比赛","本期精彩依旧，求求了一定要看到最后！（对了，本期最佳创意奖会通过弹幕评分来决定获奖者，交给你们了！）
我们并不是在追求理论的结果，而是玩家能达到的极限！
感谢﻿@解说米勒 ﻿ 的精彩解说
感谢@樱井飞鸟 好兄弟帮忙做的部分特效
感谢@Nocturne777 做的选手成绩图"
【2025LPL第二赛段】6月7日 WBG vs IG,哔哩哔哩英雄联盟赛事,BV1kwT1zPEHR,2025-06-07 18:04:57,247:24,19534,11196,2035047,1714,电子竞技,"英雄联盟,IG,电子竞技,LPL,游戏赛事,lol,WBG,2025LPL,LPL第二赛段,2025LPL第二赛段",【2025LPL第二赛段】6月7日 WBG vs IG
《新春特辑 奥斯卡之夜》全员内鬼！10个博主梦幻联动！节目效果炸裂哈哈哈哈！！！！,小白打野,BV1M4421A7zq,2024-02-06 11:00:00,23:35,5599,104996,1611664,15877,电子竞技,"游戏,LOL,英雄联盟,开黑,搞笑娱乐,狼人杀,斗蛐蛐,内鬼,奥斯卡之夜,小白打野","这集真的制作不易，求求兄弟们三连支持！
10个博主梦幻联动！而且时长拉满！绝对够大家在年夜饭上吃饱！
祝大家新年快乐 来年也请多多关照！ 爱你们"
《五上单vs五打野》上单操作碾压？还是打野思路取胜？离谱的对局哈哈哈哈,小白打野,BV1b4421Z7Hc,2024-08-10 15:20:22,9:33,1659,37967,1192588,2342,电子竞技,"LOL,联动,英雄联盟,打野,搞笑娱乐,上单,整活,小白打野,电子蛐蛐,神会员吃喝玩乐省钱搭子,上B站 夏日省钱大作战",
水晶哥看TheShy杰斯1-5开局连续杀到6-6，IG 3-1战胜WBG晋级四强：WBG放假了，手心手背都是肉啊！,火播君,BV1xhTCziEoY,2025-06-07 20:54:36,9:32,396,1393,162666,97,电子竞技,"LOL,英雄联盟,IG,LPL,小虎,Meiko,Rookie,TheShy,WBG,水晶哥","水晶哥：huya2225223
IGvsWBG 3:1"
现在还能坚持玩上单的，你是这个👍,三桥qzg,BV1esE9z6EZL,2025-05-19 21:57:34,7:9,1309,83177,1081548,2215,网络游戏,"娱乐,英雄联盟,上单,MOBA,奥恩,下班整点英雄联盟,想起来了我是LOL大王",金主爸爸同意恰饭放结尾了 谢谢大家支持！
