标题,作者,bvid,上传时间,视频时长,弹幕数,点赞数,播放量,收藏量,分区类型,标签,描述
8分钟被抓7次，大G无语了：本来不想发疯的！,我才是熊猫大G,BV18jTNzaEiz,2025-06-06 18:00:00,10:53,784,4331,166128,134,电子竞技,"搞笑,英雄联盟,塞恩,偷家,大G,偷塔流,送死流,送死流塞恩,下饭操作,下班整点英雄联盟,想起来了我是LOL大王",
光头强，熊大熊二又来砍塔了！,我才是熊猫大G,BV1MHTDzdEva,2025-06-08 18:00:00,12:8,375,2776,57359,75,电子竞技,"搞笑,英雄联盟,塞恩,偷家,大G,偷塔流,送死流,送死流塞恩,下饭操作,下班整点英雄联盟,想起来了我是LOL大王",
快分享给你想玩英雄联盟的朋友！保姆级入门教学！,祥云璧,BV1Vd4y1S72e,2022-07-22 18:18:47,94:11,6153,76537,1736439,60608,电子竞技,"网络游戏,LOL,英雄联盟LOL,教学,游戏视频,LOL英雄联盟,英雄联盟,祥云璧,英雄联盟教学",谢谢你看我的视频！这期视频播放还好的话以后再继续做英雄联盟的视频！不然就算了就全当一些热爱了！
万豪被牛头顶几下心态就崩了,神牛教丶教主,BV1UmTyzCEry,2025-06-08 17:00:00,8:51,487,5312,125420,157,电子竞技,"电子竞技,精彩集锦,MOBA,上单牛头,万豪,下班整点英雄联盟,想起来了我是LOL大王",-
英雄联盟lol全英雄教学，永久更新,lol超神解说lol,,1970-01-01 08:00:00,,0,0,130363,0,,,
速杀厄塔汗世界纪录：1帧瞬杀！永远不要低估一颗冠军的心！！,布锅锅,BV1atQ6YqEz1,2025-03-14 19:41:53,27:14,8997,142746,3245873,27124,日常,"解说,比赛,英雄联盟,挑战,剑圣,电子竞技,霞,lol,游戏鉴赏家,欢迎回归英雄联盟竞技场",久等了！这期全是神仙打架！最百花齐放的一集！前四全是神仙！！！（一定要看到最后啊，求三连！！！谢谢兄弟们！！！）
黑魂对决！恶魔的碰撞,直面泰山,BV1eGTXz6E8z,2025-06-08 18:40:14,6:30,271,25040,238550,836,网络游戏,"LOL,英雄联盟,中单,电子竞技,加里奥,MOBA,下班整点英雄联盟,想起来了我是LOL大王","黑魂加里奥 适用符文
黑暗收割-猛然冲击-可怖纪念品-无情猎手 灵光披风-焦灼

正常发育主Q
逃生进攻频繁副E，埋伏or团战副W

感谢你的关注！这是我更新的最大动力！！
每天上午十点准时开播
开黑交流群：668128870"
《哄了一整局少爷结果4v5赢下游戏后》,阳光男孩小丑熊,BV1Sq7PzsEBu,2025-05-31 20:55:37,12:53,2984,82969,1007020,4355,网络游戏,"LOL,英雄联盟,电子竞技,英雄联盟绽灵节,下班整点英雄联盟",三连加快更新哦^ ^
速杀厄塔汗世界纪录：1帧瞬杀！永远不要低估一颗冠军的心！！,布锅锅,BV1atQ6YqEz1,2025-03-14 19:41:53,27:14,8997,142746,3245889,27124,日常,"解说,比赛,英雄联盟,挑战,剑圣,电子竞技,霞,lol,游戏鉴赏家,欢迎回归英雄联盟竞技场",久等了！这期全是神仙打架！最百花齐放的一集！前四全是神仙！！！（一定要看到最后啊，求三连！！！谢谢兄弟们！！！）
LOL也出摸金模式了?化身鼠鼠搜打撤！挑战世界第一高叠层！【有点骚东西】,上海滩许Van强,BV1UE7WzuEgZ,2025-05-30 18:58:43,12:16,5826,54867,1812100,3269,电子竞技,"搞笑,LOL,新版本,开黑,套路,LPL,京东3C数码,搜打撤,京东国补,领国补就上京东",-
腕豪前期笑嘻嘻，后期开启攻击,挖机牧魂人,BV16E7SzNEBW,2025-06-03 11:00:00,14:53,1017,3426,179378,152,网络游戏,"英雄联盟,电子竞技,盖伦,上单,MOBA,下班整点英雄联盟",
Zika来挑战峡谷百万富翁了！猜猜能拿多少奖金？,上单老祖,BV1TV9QYeEXf,2025-03-08 10:59:52,36:36,10814,69913,2493676,9733,电子竞技,"英雄联盟,电子竞技,LNG,LPL,Zika,峡谷百万富翁",
【LPL赛事速看】第二赛段淘汰赛D8: WE三比二击败TES晋级四强,哔哩哔哩英雄联盟赛事,BV1qtT9zEEvc,2025-06-08 23:51:50,21:23,567,1926,81044,83,电子竞技,"LOL,英雄联盟,电子竞技,LPL,赛事,电竞赛事,2025LPL,LPL第二赛段",【LPL赛事速看】第二赛段淘汰赛D8: WE三比二击败TES晋级四强
英雄联盟LOL王者教学：戏命师烬,lol超神解说lol,,1970-01-01 08:00:00,,0,0,118,0,,,
LOL新版[龙龟]实战试玩!QR核弹!2809伤害!我们都在用力的活着～,LOL小绿毛资讯,BV16VTmzeEPf,2025-06-08 11:56:24,2:28,200,5897,214079,191,电子竞技,"游戏,LOL,英雄联盟,电子竞技,资讯,龙龟,披甲龙龟,版本改动,英雄联盟改动介绍,下班整点英雄联盟,英雄联盟峡谷发明家","LOL新版[龙龟]实战试玩!QR核弹!2809伤害!我们都在用力的活着～
视频对你有帮助的话,不妨帮绿毛点个免费的赞呀(º﹃º )喜欢LOL最新资讯视频欢迎关注呀(=・ω・=)
绿毛在此感谢大家的支持,祝大家排位上大分,天天好心情(=・ω・=)"
对面打野：我和德玛是真爱！,挖机牧魂人,BV1QhTsz9EMW,2025-06-06 11:00:00,18:17,771,2153,77645,82,网络游戏,"英雄联盟,电子竞技,盖伦,上单,MOBA,下班整点英雄联盟",
【锐评】逆天！JDG千万阵容惨遭穷人线战队WE八强淘汰？JDG VS WE,徐桑,BV1siTuzNEx5,2025-06-06 19:33:57,10:5,1008,6258,281975,527,电子竞技,"游戏,LOL,比赛,英雄联盟,电子竞技,电竞,MOBA,LPL,JDG,2025LPL第二赛段,LPL激励计划第二赛段",
“我爬出来了~从地狱！从你的愧疚里！”,马克丶不吐温,BV12zTPzoEMa,2025-06-06 16:05:00,7:12,1782,147522,2989473,42174,同人·手书,"动画,LOL,英雄联盟,原创动画,动画短片,锐雯,亚索,疾风剑豪,永恩",
【2025LPL第二赛段】6月2日 TES vs BLG,哔哩哔哩英雄联盟赛事,BV1Qa7mzmEtb,2025-06-02 17:59:48,174:14,15002,10614,1614240,1383,电子竞技,"英雄联盟,TES,BLG,电子竞技,LPL,游戏赛事,lol,2025LPL,LPL第二赛段,2025LPL第二赛段",【2025LPL第二赛段】6月2日 TES vs BLG
英雄联盟LOL王者教学：封魔剑魂永恩,lol超神解说lol,,1970-01-01 08:00:00,,0,0,5181,0,,,
sask看布锅锅离谱投稿合集全程难绷：不敢笑怕真有病！,游戏BBQ,BV1987izJEH1,2025-06-04 09:49:48,9:30,114,1204,194722,166,电子竞技,"搞笑,LOL,英雄联盟,电子竞技,MOBA,LPL,脚神,sask,离谱合集","脚神直播间：Huya579236
大家点赞收藏三连，充电5B币即可获得BBQ粉丝牌哦"
瓦4v5挑战：4赋能vs5个lol博主！哪边会赢？【无畏契约手游】,布锅锅,BV1fkjJzVEjc,2025-05-24 12:00:00,31:37,1700,21442,747630,2363,电子竞技,"比赛,英雄联盟,挑战,lol,瓦,游戏鉴赏家,赋能,无畏契约,捷风,无畏契约手游预约开启,无畏契约手游首曝创作",大东彦、夜莲、舟舟子、小凌这4个人均赋能组成的无畏契约队vs打5个爱打瓦的lol博主，哪边会赢？
野区孙子兵法！弱势阵容‘乌龟战术’生存指南：用逆向思维规划逃生｜打崩对面心态，再弱也能拖到后期，‘时间差作弊’教学这波野区直接封神！,轻狂书生贝蕾亚,BV16eTtzEEk8,2025-06-05 19:43:21,17:31,596,8119,203781,605,电子竞技,"LOL,英雄联盟,电子竞技,MOBA,打野教学,游戏日常,轻狂书生,贝蕾亚,下班整点英雄联盟",每天学一个小技巧，关注我，让你钻石上青铜，少走弯路！
全是人情世故？LPL开启“大宫斗时代”？【电竞联播SP】,猛男刘三少,BV1r4Jwz3EW2,2025-05-17 18:00:00,8:2,787,21425,660622,1508,电子竞技,"LOL,英雄联盟,电子竞技,MOBA,LPL,电竞赛事,京东618又好又便宜,京东超级外卖日,518京东超级外卖日",有些事情其实并没有那么复杂
爆破4v8挑战：4个cf职业选手vs8个lol博主！哪边会赢？,布锅锅,BV1MeGdzDErJ,2025-05-03 22:03:29,29:43,10292,112266,2777790,12604,电子竞技,"FPS,比赛,英雄联盟,挑战,穿越火线,职业选手,脑洞,lol,游戏鉴赏家,穿越火线怀旧模式,穿越火线怀旧模式激励计划",来了来了！8个爱打cf的lol博主和4个cf职业哥打爆破！哪边会赢！
最不可能赢的一把游戏！,我才是熊猫大G,BV1qs7LzAEAa,2025-05-29 20:03:18,14:7,806,5400,185850,155,电子竞技,"搞笑,英雄联盟,塞恩,偷家,大G,偷塔流,送死流,送死流塞恩,下饭操作,下班整点英雄联盟,想起来了我是LOL大王",
LOL新皮肤[原画]曝光!莲华[彗]超帅!黑夜寡妇!至臻劫!新英雄形象!新大乱斗地图!,LOL小绿毛资讯,BV1ExThzHERr,2025-06-09 06:47:46,1:1,170,2923,115081,102,电子竞技,"游戏,LOL,英雄联盟,电子竞技,爆料,资讯,新皮肤,皮肤预览,灵魂莲华,2025LPL第二赛段,LPL激励计划第二赛段","LOL新皮肤[原画]曝光!莲华[彗]超帅!黑夜寡妇!至臻劫!新英雄形象!新大乱斗地图!
视频对你有帮助的话,不妨帮绿毛点个免费的赞呀(º﹃º )喜欢LOL最新资讯视频欢迎关注呀(=・ω・=)
绿毛在此感谢大家的支持,祝大家排位上大分,天天好心情(=・ω・=)"
这游戏怎么到处都是剑魔啊？,峡谷混学家,BV1AK411Y7X1,2024-01-25 18:00:00,6:55,1841,90009,1684283,2808,电子竞技,"搞笑,娱乐,英雄联盟,下饭,上单,石头人,lol,英雄联盟新春会",三连呀三连呀三连呀三连呀三连呀三连呀！！！！！！！！！！！！！
安息吧滔搏！不用去MSI丢人了！WE时代！创造神话！年度最爽最励志一集！WE激情掀翻TES！送陀螺王放假！各路解说激情高呼WE王朝：要看Cube虐宙斯了！,联盟抗压王,BV1SPTYz5EdV,2025-06-09 11:26:45,25:0,1432,6894,134267,1013,电子竞技,"游戏,英雄联盟,TES,WE,电子竞技,MSI,LPL,jackeylove,各路解说,LPL激励计划,LPL激励计划第二赛段",最爽的一集！大伙看爽了，点个赞支持下，关注我可日常收看！
计划有变！准备去MSI！Theshy季后赛神了！全给我哭！这就是LPL第一杰斯的含金量！各路解说看IG三比一WBG：Theshy要去复仇宙斯！,联盟抗压王,BV1ycTmzkENf,2025-06-08 09:00:00,19:28,1520,7999,440139,806,电子竞技,"游戏,英雄联盟,IG,电子竞技,杰斯,LPL,小虎,TheShy,WBG,各路解说","喜剧开始了！
闹剧结束了！
大伙享受完了点个赞支持下，关注我可日常收看！"
英雄联盟LOL王者教学：青钢影卡蜜尔,lol超神解说lol,,1970-01-01 08:00:00,,0,0,684,0,,,
最强坦克的无奈,风彩丶,BV1m4Tuz3E1j,2025-06-06 19:07:17,19:44,1907,29199,558889,1454,电子竞技,"英雄联盟,电子竞技,大虫子,上单,MOBA,下班整点英雄联盟,英雄联盟峡谷发明家",
【真实锐评WE战胜TES】脖子有憾 原地解散 一个TES能买多少个WE ？,真实电竞,BV1HFTRz4ETs,2025-06-08 23:45:33,10:51,6439,23195,758243,1693,电子竞技,"英雄联盟,TES,WE,BLG,IG,LPL,369,阿水,小奶油,2025LPL第二赛段,LPL激励计划第二赛段",
宁王zdz看TES被WE淘汰直接人看傻了：滔搏在令人失望这块 他说第一没人说第二！,游戏BBQ,BV196TYzSEUL,2025-06-09 10:45:50,14:31,60,440,37839,31,电子竞技,"英雄联盟,TES,WE,电子竞技,LPL,宁王,369,JackeyLove,Monki,Kanavi","Ning直播间：huya980312
大家点赞收藏三连，充电5B币即可获得BBQ粉丝牌哦！"
【封神榜】LPL歌曲排行总榜TOP10，神仙打架，余音袅袅，天籁之音!,爱唱歌的小吕,BV1D1TGzRELb,2025-06-07 11:00:00,26:37,701,2101,103558,1033,电子竞技,"英雄联盟,TES,IG,电子竞技,LPL,Uzi,JackeyLove,Theshy,Bin,LPL激励计划,LPL激励计划第二赛段","置顶原曲TP传送门
第1首： https://www.bilibili.com/video/BV1qHXjY7E34/?share_source=copy_web&amp;vd_source=81c774de3631e30f61acb06bb1d89a65
第2首：https://www.bilibili.com/video/BV1kw411M7Db/?share_source=copy_web&amp;vd_source=81c774de3631e30f61acb06bb1d89a65
第3首：https://www."
【柠檬聊WE3:2TES】LPL历史上最伟大的以下克上！滔搏哥在创造历史方面没让大伙失望！,GTG丶柠檬,BV1nMTozfEiB,2025-06-09 02:54:58,11:34,332,1393,80467,100,电子竞技,"369,Vampire,jackeylove,刘青松,Monki,Creme,Kanavi,Karis,2025LPL第二赛段,LPL激励计划第二赛段,Teacher ma",如果觉得说的有意思的话 可以关注+一键三连吗 蟹蟹捏-0-
英雄联盟LOL王者教学：武器大师贾克斯,lol超神解说lol,,1970-01-01 08:00:00,,0,0,2554,0,,,
上单五虎间的对决，我的数值远在你之上,逍遥v浪迹峡谷,BV1cZTKzWEkZ,2025-06-06 17:04:13,12:23,771,8066,150082,392,电子竞技,"搞笑,英雄联盟,第一视角,电子竞技,沙漠死神,上单,MOBA,数值,上单五虎,下班整点英雄联盟",逍遥腕豪初体验 兄弟们给个三连 下次一定更精彩~~
Uzi名人堂100级故事有多幽默？拳头为了凑数也是煞费苦心！,公瑾Gem,BV1o2TDzBEj4,2025-06-08 14:17:06,11:3,522,1976,107012,598,日常,"英雄联盟,电子竞技,名人堂,MOBA,LPL,RNG,Uzi,助威LPL,必剪创作,LPL激励计划第二赛段",-
世界名画！众解说看theshy掘墓闪现过墙一包四gala烬一雷四吃淘汰WBG，全员傻眼:天选唯一,无畏镜中人,BV1pXTSz1E2Z,2025-06-08 07:46:08,8:30,173,1251,141737,134,电子竞技,"英雄联盟,IG,电子竞技,MOBA,LPL,姿态,gala,TheShy,WBG,水晶哥",众解说看theshy掘墓一包四淘汰WBG
死亡压迫！各解说看Jackeylove对线惨遭女警爆破炸穿TES，全场被压制团战瞬间暴毙！369决胜剑姬无力回天！WE战胜TES，解说目瞪口呆！WE真王朝了！,电竞天幕guesser,BV1T1ThzBERM,2025-06-09 05:46:59,79:52,181,593,57277,166,电子竞技,"英雄联盟,TES,WE,电子竞技,精彩集锦,LPL,赛事,369,jackeylove,2025LPL第二赛段,LPL激励计划第二赛段",WE战胜TES
【峡谷百万富翁】中单刺客篇！隐忍蓄力，一击必杀，7位顶尖高手谁能站到最后？,上单老祖,BV1Am7FzAEse,2025-05-31 18:00:00,39:25,13617,56890,1203854,7186,电子竞技,"英雄联盟,刺客,中单,傲风,电竞椅,傲风M6,峡谷百万富翁,下班整点英雄联盟",
英雄联盟LOL王者教学：荒漠屠夫鳄鱼,lol超神解说lol,,1970-01-01 08:00:00,,0,0,717,0,,,
五个下饭主播在开局获得巨大优势的情况下，能打过五个绝活主播吗？,清酒好可怜,BV1rij9zLEcm,2025-06-02 18:00:00,13:52,1932,57040,2655683,33209,电子竞技,碎星杯,
【复盘】Tian两波大失误葬送好局！IG如何让1追3击败WBG挺进四强？WBG VS IG,徐桑,BV1PvTXzREBE,2025-06-08 17:36:42,10:19,179,3303,93613,340,电子竞技,"游戏,比赛,英雄联盟,IG,电子竞技,电竞,MOBA,LPL,TheShy,2025LPL第二赛段,LPL激励计划第二赛段",
《诸神之战》冰杖鳄鱼、打野德莱文、机牛组合等等...10位博主的黑科技对局！这才是百花齐放百家争鸣！,小白打野,BV1SqBqYREQD,2024-11-22 17:21:19,23:35,4789,78766,2357514,9376,电子竞技,"英雄联盟,诸神之战,搞笑娱乐,电竞椅,梦幻联动,小白打野,骁骑,冰杖鳄鱼,打野德莱文,机牛组合","上单：冰杖鳄鱼@王氏上单  
打野：德莱文@老龙女和扎克  
中路：AP亚索@阿帅派克  
下路：机器人+牛头@菜菜姐莎疯了   @橘子怪丶  
——————————————————————
上单：厄斐琉斯@阿皮apiOVO  
打野：EZ 打野 @小白打野  
中单：AD塞拉斯 @古月酱cc  
下路：心之钢纯肉 亚索+永恩 @谁让我是白泽呢    @阳光男孩小丑熊  
——————————————————————
制作不易 求求兄弟们 三连支持！电上关注！"
LPL史上首支0评分战队诞生！TES创下LPL最差历史，经理郭皓被曝辞职离队,方圆电竞,BV1LJTozHEyB,2025-06-09 00:57:13,3:36,556,2883,422706,215,电子竞技,"英雄联盟,TES,WE,IG,电子竞技,MOBA,LPL,电竞赛事,2025LPL第二赛段,LPL激励计划第二赛段",LPL史上首支0评分战队诞生！TES创下LPL最差历史，经理郭皓被曝辞职离队
仁川双雄！我看哭了！绝境IG！神王登场！全场卧槽：老朋友！好久不见！这就是初代神王的魅力！燃爆各路解说！这一Q闪！七年的功力！你怎么挡！,联盟抗压王,BV15jTpzxEUm,2025-06-05 08:21:53,22:27,1809,7059,290547,831,电子竞技,"游戏,英雄联盟,IG,电子竞技,剑魔,LPL,Rookie,TheShy,Theshy,各路解说",兄弟们看得过瘾，点个赞支持下，关注我可日常收看
LPL史上首支0评分战队诞生！TES创下LPL最差历史，经理郭皓被曝辞职离队,方圆电竞,BV1LJTozHEyB,2025-06-09 00:57:13,3:36,557,2883,422706,215,电子竞技,"英雄联盟,TES,WE,IG,电子竞技,MOBA,LPL,电竞赛事,2025LPL第二赛段,LPL激励计划第二赛段",LPL史上首支0评分战队诞生！TES创下LPL最差历史，经理郭皓被曝辞职离队
TES vs WE 生死战！ 369尾选剑姬决意要C！ WE黑马热血大逆袭！ Game 5 | Game 5 | 2025 LPL第二赛段淘汰赛,最强联盟,BV1MhTRzKE4y,2025-06-08 22:53:08,14:53,658,2446,156151,141,电子竞技,"TES,WE,LPL,369,TES vs WE,TES 369,LPL第二赛段,LPL第二赛段淘汰赛",
开局一直丢Q炸剑魔，他就喊打野来抓，结果上野一死一送开始内讧，最后还被先锋一起撞死。直接失眠,峡谷时光王,BV14pTNztEjd,2025-06-06 16:00:00,2:57,348,10540,326103,608,电子竞技,"英雄联盟,电子竞技,打野,上单,先锋,MOBA,剑魔,下班整点英雄联盟,英雄联盟峡谷发明家",视频仅供娱乐参考，切勿模仿当真！
爆破4v8挑战：4个cf职业选手vs8个lol博主！哪边会赢？,布锅锅,BV1MeGdzDErJ,2025-05-03 22:03:29,29:43,10292,112266,2777790,12604,电子竞技,"FPS,比赛,英雄联盟,挑战,穿越火线,职业选手,脑洞,lol,游戏鉴赏家,穿越火线怀旧模式,穿越火线怀旧模式激励计划",来了来了！8个爱打cf的lol博主和4个cf职业哥打爆破！哪边会赢！
英雄联盟LOL王者教学：疾风剑豪亚索,lol超神解说lol,,1970-01-01 08:00:00,,0,0,2376,0,,,
和职业选手比拼混学造诣,峡谷混学家,BV1E4QZYwEmu,2025-03-19 17:27:13,9:9,1851,55073,924757,2514,电子竞技,"搞笑,娱乐,英雄联盟,下饭,上单,石头人,lol,欢迎回归英雄联盟竞技场",非常感谢hoya的参与，看的开心别忘了给个三连！！！
爆破4v8挑战3：4个cf职业选手vs8个lol博主！go学长参战！哪边会赢？,布锅锅,BV1LFVQzHEkE,2025-05-10 12:00:00,41:40,10628,97490,1814592,12293,电子竞技,"FPS,比赛,英雄联盟,挑战,穿越火线,职业选手,lol,csgo,游戏鉴赏家,穿越火线怀旧模式,穿越火线怀旧模式激励计划",上一集，lol队11:10险胜校长队，这次再补强两个go学长，但是校长队也有超级锦囊了，会赢吗？！
这游戏怎么到处都是剑魔啊？,峡谷混学家,BV1AK411Y7X1,2024-01-25 18:00:00,6:55,1841,90009,1684283,2808,电子竞技,"搞笑,娱乐,英雄联盟,下饭,上单,石头人,lol,英雄联盟新春会",三连呀三连呀三连呀三连呀三连呀三连呀！！！！！！！！！！！！！
Letme看LCK全位置数据图 Chovy逆天数据全部拉满当场傻眼：太夸张了吧！,游戏BBQ,BV1iWEJzVEtS,2025-05-12 17:48:04,6:53,782,2669,431130,572,电子竞技,"英雄联盟,电子竞技,LPL,LCK,Faker,Letme,ShowMaker,Chovy,Zeka","Letme直播间：huya518518
大家点赞收藏三连，充电5B币即可获得BBQ粉丝牌哦！"
【赛事周报34】大王这一块！BLG横扫IG碾压TES，强势挺进胜决！WBG概念神降临，携手WE爆冷JDG！,圆某人和四某人,BV1WiTCzAETt,2025-06-07 21:54:39,33:51,2435,15701,462932,2126,电子竞技,"英雄联盟,TES,WE,BLG,IG,LPL,JDG,WBG,京东618又好又便宜",高考加油哈~
英雄联盟LOL王者教学：腕豪瑟提,lol超神解说lol,,1970-01-01 08:00:00,,0,0,26244,0,,,
米勒看WE战胜TES赛后热血语音 满眼都是LPL最初的模样：真的热泪盈眶啊！,游戏BBQ,BV1GPTYzLEJS,2025-06-09 11:20:48,3:40,32,333,28992,41,电子竞技,"英雄联盟,TES,WE,电子竞技,米勒,LPL,JackeyLove,Cube,Monki","米勒直播间：虎牙149361
大家点赞收藏三连，充电5B币即可获得BBQ粉丝牌哦！"
水晶哥看TheShy掘墓一人闪过墙包住WBG四人：他真的太会玩英雄联盟了！,游戏BBQ,BV1sETyzeEDz,2025-06-07 20:17:14,8:12,195,1977,195460,127,电子竞技,"英雄联盟,电子竞技,LPL,Meiko,TheShy,iG,Xiaohu,Tian,WBG,水晶哥","水晶哥直播间：huya222523
大家点赞收藏三连，充电1B币即可获得BBQ粉丝牌哦！"
比C我不争不抢，比混我不甘示弱,峡谷混学家,BV1dG78zqEHe,2025-06-03 18:00:00,6:59,922,41342,655484,1384,电子竞技,"搞笑,娱乐,英雄联盟,下饭,上单,石头人,lol,下班整点英雄联盟",看的开心别忘了给个三连呀！！！！！！
"王者局20层千珏！谁是最强后期ADC？快速看完一局韩服王者斗殴局#690 Rather, Tianzhen",yizhilugou,BV18hT1z5EqS,2025-06-08 12:05:00,26:56,922,2662,52553,237,电子竞技,"英雄联盟,韩服,电子竞技,王者,精彩集锦,千珏,下班整点英雄联盟,想起来了我是LOL大王","王者局20层千珏！谁是最强后期ADC？快速看完一局韩服王者斗殴局#690 Rather, Tianzhen
BGM:https://music.163.com/playlist?id=650818240&amp;userid=30476594"
最无聊的模式！不出泉水也能打赢lol新模式神木之门,_infinity1,BV1bmJazuEr7,2025-05-20 22:35:26,24:25,879,2049,386273,384,网络游戏,"搞笑,无聊,LOL,英雄联盟,新模式,MOBA,神木之门",https://www.youtube.com/watch?v=dQJuJ852BzY
英雄联盟LOL王者教学：盲僧李青,lol超神解说lol,,1970-01-01 08:00:00,,0,0,664,0,,,
